movieId,avg_rating,vote_count,title,genres,category
922,4.333333333333333,27,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,Hidden Gem (High Qual/Low Pop)
898,4.310344827586207,29,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,Hidden Gem (High Qual/Low Pop)
475,4.3,25,In the Name of the Father (1993),Drama,Hidden Gem (High Qual/Low Pop)
246,4.293103448275862,29,Hoop Dreams (1994),Documentary,Hidden Gem (High Qual/Low Pop)
1235,4.288461538461538,26,Harold and Maude (1971),Comedy|Drama|Romance,Hidden Gem (High Qual/Low Pop)
168252,4.28,25,Logan (2017),Action|Sci-Fi,Hidden Gem (High Qual/Low Pop)
1267,4.25,30,"Manchurian Candidate, The (1962)",Crime|Thriller|War,Hidden Gem (High Qual/Low Pop)
926,4.229166666666667,24,All About Eve (1950),Drama,Hidden Gem (High Qual/Low Pop)
1212,4.229166666666667,24,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,Hidden Gem (High Qual/Low Pop)
933,4.217391304347826,23,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller,Hidden Gem (High Qual/Low Pop)
1945,4.1875,24,On the Waterfront (1954),Crime|Drama,Hidden Gem (High Qual/Low Pop)
2160,4.171875,32,Rosemary's Baby (1968),Drama|Horror|Thriller,Hidden Gem (High Qual/Low Pop)
1172,4.161764705882353,34,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,Hidden Gem (High Qual/Low Pop)
3681,4.151515151515151,33,For a Few Dollars More (Per qualche dollaro in più) (1965),Action|Drama|Thriller|Western,Hidden Gem (High Qual/Low Pop)
741,4.148148148148148,27,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi,Hidden Gem (High Qual/Low Pop)
3037,4.145833333333333,24,Little Big Man (1970),Western,Hidden Gem (High Qual/Low Pop)
2067,4.142857142857143,21,Doctor Zhivago (1965),Drama|Romance|War,Hidden Gem (High Qual/Low Pop)
56782,4.142857142857143,28,There Will Be Blood (2007),Drama|Western,Hidden Gem (High Qual/Low Pop)
1272,4.121212121212121,33,Patton (1970),Drama|War,Hidden Gem (High Qual/Low Pop)
44555,4.117647058823529,34,"Lives of Others, The (Das leben der Anderen) (2006)",Drama|Romance|Thriller,Hidden Gem (High Qual/Low Pop)
92259,4.108108108108108,37,Intouchables (2011),Comedy|Drama,Hidden Gem (High Qual/Low Pop)
1244,4.106060606060606,33,Manhattan (1979),Comedy|Drama|Romance,Hidden Gem (High Qual/Low Pop)
1086,4.1,25,Dial M for Murder (1954),Crime|Mystery|Thriller,Hidden Gem (High Qual/Low Pop)
720,4.092592592592593,27,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,Hidden Gem (High Qual/Low Pop)
27773,4.089743589743589,39,Old Boy (2003),Mystery|Thriller,Hidden Gem (High Qual/Low Pop)
1223,4.089285714285714,28,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,Hidden Gem (High Qual/Low Pop)
1673,4.076923076923077,39,Boogie Nights (1997),Drama,Hidden Gem (High Qual/Low Pop)
1084,4.071428571428571,35,Bonnie and Clyde (1967),Crime|Drama,Hidden Gem (High Qual/Low Pop)
1249,4.071428571428571,35,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller,Hidden Gem (High Qual/Low Pop)
38061,4.071428571428571,35,Kiss Kiss Bang Bang (2005),Comedy|Crime|Mystery|Thriller,Hidden Gem (High Qual/Low Pop)
6350,4.0625,24,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,Hidden Gem (High Qual/Low Pop)
54997,4.06,25,3:10 to Yuma (2007),Action|Crime|Drama|Western,Hidden Gem (High Qual/Low Pop)
69481,4.0588235294117645,34,"Hurt Locker, The (2008)",Action|Drama|Thriller|War,Hidden Gem (High Qual/Low Pop)
916,4.0576923076923075,26,Roman Holiday (1953),Comedy|Drama|Romance,Hidden Gem (High Qual/Low Pop)
2788,4.053571428571429,28,Monty Python's And Now for Something Completely Different (1971),Comedy,Hidden Gem (High Qual/Low Pop)
